
..................TÜRKÝYE VE YAKIN ÇEVRESÝNDEKÝ SON DEPREMLER....................
.....BÖLGESEL DEPREM-TSUNAMÝ ÝZLEME VE DEÐERLENDÝRME MERKEZÝ HIZLI ÇÖZÜMLERÝ.....
......(YAPAY SARSINTI ANALÝZÝ YAPILMAMIÞTIR) Son 500 deprem listelenmiþtir......
                                                        Büyüklük
Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliði
---------- --------  --------  -------   ----------    ------------    --------------                                  --------------
2023.01.29 19:38:45  38.5102   45.0888        8.3      -.-  4.0  4.3   IRAN                                              Ýlksel
2023.01.29 19:12:36  35.7213   35.7078       12.7      -.-  4.3  4.2   AKDENIZ                                           Ýlksel
2023.01.29 18:36:59  38.4092   45.2235       14.7      -.-  2.8  2.8   IRAN                                              Ýlksel
2023.01.29 18:13:21  38.4207   45.1358        5.2      -.-  4.5  4.8   IRAN                                              Ýlksel
2023.01.29 17:41:12  38.5977   44.8668        5.0      -.-  4.5  4.8   TURKIYE-IRAN SINIR BOLGESI                        Ýlksel
2023.01.29 15:34:27  41.1905   24.8763        5.6      -.-  2.2  -.-   YUNANISTAN                                        Ýlksel
2023.01.29 14:05:05  38.7238   44.7607        5.0      -.-  2.6  -.-   TURKIYE-IRAN SINIR BOLGESI                        Ýlksel
2023.01.29 13:22:36  38.5398   26.3985       18.9      -.-  2.4  -.-   KUCUKBAHCE-KARABURUN (IZMIR)                      Ýlksel
2023.01.29 12:07:24  37.4215   31.9858        8.2      -.-  2.4  -.-   KURAN-SEYDISEHIR (KONYA)                          Ýlksel
2023.01.29 11:42:48  37.4302   31.9827        5.4      -.-  2.4  -.-   KURAN-SEYDISEHIR (KONYA)                          Ýlksel
2023.01.29 11:21:11  39.4642   27.8270        7.2      -.-  2.0  -.-   TASPINAR-(BALIKESIR)                              Ýlksel
2023.01.29 11:04:26  40.5793   27.2430       11.9      -.-  3.1  -.-   KARABIGA ACIKLARI-CANAKKALE (MARMARA DENIZI)      Ýlksel
2023.01.29 09:08:26  36.9530   27.5743        5.3      -.-  1.9  -.-   GOKOVA KORFEZI (AKDENIZ)                          Ýlksel
2023.01.29 07:57:59  40.4107   28.8685       10.2      -.-  2.0  -.-   GEMLIK KORFEZI (MARMARA DENIZI)                   Ýlksel
2023.01.29 07:22:48  37.1740   35.9140       23.7      -.-  1.6  -.-   DIKILITAS-CEYHAN (ADANA)                          Ýlksel
2023.01.29 06:48:05  38.3830   45.1705        3.5      -.-  3.9  -.-   IRAN                                              Ýlksel
2023.01.29 06:18:05  38.3895   45.1333       11.9      -.-  2.8  -.-   IRAN                                              Ýlksel
2023.01.29 06:09:08  37.0348   28.4002        5.0      -.-  1.3  -.-   ATAKOY-ULA (MUGLA)                                Ýlksel
2023.01.29 05:32:32  38.4517   45.1463       15.4      -.-  3.4  -.-   IRAN                                              Ýlksel
2023.01.29 04:16:00  39.1182   27.8043        8.0      -.-  1.8  -.-   KARAKURT-KIRKAGAC (MANISA)                        Ýlksel
2023.01.29 03:45:44  39.3492   26.2688       11.3      -.-  1.7  -.-   MIDILLI ADASI (EGE DENIZI)                        Ýlksel
2023.01.29 03:37:40  38.4378   45.1193       14.8      -.-  2.9  -.-   IRAN                                              Ýlksel
2023.01.29 03:37:25  39.3160   26.2928       15.7      -.-  1.4  -.-   MIDILLI ADASI (EGE DENIZI)                        Ýlksel
2023.01.29 02:53:48  38.5743   44.8647        5.0      -.-  2.3  -.-   TURKIYE-IRAN SINIR BOLGESI                        Ýlksel
2023.01.29 02:43:17  38.3765   27.2247        7.4      -.-  1.6  -.-   GOKDERE-BORNOVA (IZMIR)                           Ýlksel
2023.01.29 02:34:27  38.5345   44.8948        5.0      -.-  2.9  -.-   TURKIYE-IRAN SINIR BOLGESI                        Ýlksel
2023.01.29 02:27:20  38.3430   45.0723       14.2      -.-  3.6  -.-   IRAN                                              Ýlksel
2023.01.29 02:11:19  38.3358   45.1962       13.1      -.-  2.6  -.-   IRAN                                              Ýlksel
2023.01.29 01:49:21  39.5038   26.0598       18.5      -.-  1.6  -.-   BABAKALE-AYVACIK (CANAKKALE)                      Ýlksel
2023.01.29 01:28:13  38.5340   44.9412        5.0      -.-  3.6  -.-   IRAN                                              Ýlksel
2023.01.29 01:22:53  36.4255   27.6237       23.4      -.-  1.9  -.-   ONIKI ADALAR (AKDENIZ)                            Ýlksel
2023.01.29 01:22:26  35.9003   25.3470      129.2      -.-  3.1  -.-   GIRIT ADASI (AKDENIZ)                             Ýlksel
2023.01.29 01:14:14  38.2833   38.7978        5.8      -.-  1.5  -.-   KARSIYAKA-PUTURGE (MALATYA)                       Ýlksel
2023.01.29 00:59:20  36.1425   28.7195       30.0      -.-  2.6  -.-   AKDENIZ                                           Ýlksel
2023.01.29 00:40:48  37.0858   28.3765        8.0      -.-  2.8  -.-   KIZILAGAC-ULA (MUGLA)                             Ýlksel
2023.01.28 23:57:34  39.0730   27.2057        5.2      -.-  1.6  -.-   SINDEL-BERGAMA (IZMIR)                            Ýlksel
2023.01.28 23:30:14  38.3902   45.3167       28.1      -.-  3.0  -.-   IRAN                                              Ýlksel
2023.01.28 23:27:24  39.3705   26.2440       10.9      -.-  1.9  -.-   MIDILLI ADASI (EGE DENIZI)                        Ýlksel
2023.01.28 23:09:54  38.4055   45.2293        1.6      -.-  4.3  -.-   IRAN                                              Ýlksel
2023.01.28 22:56:51  35.6767   27.1153        5.0      -.-  2.0  -.-   AKDENIZ                                           Ýlksel
2023.01.28 22:55:24  38.5928   45.0918        9.3      -.-  2.3  -.-   IRAN                                              Ýlksel
2023.01.28 22:54:19  38.4192   44.7642        8.6      -.-  2.6  -.-   TURKIYE-IRAN SINIR BOLGESI                        Ýlksel
2023.01.28 22:47:54  38.5768   44.8088        5.0      -.-  3.1  -.-   TURKIYE-IRAN SINIR BOLGESI                        Ýlksel
2023.01.28 22:35:15  39.3390   26.2157       14.5      -.-  1.8  -.-   MIDILLI ADASI (EGE DENIZI)                        Ýlksel
2023.01.28 22:03:22  38.4837   45.0277       15.1      -.-  3.0  -.-   IRAN                                              Ýlksel
2023.01.28 21:49:54  38.4518   45.1385        6.9      -.-  3.1  -.-   IRAN                                              Ýlksel
2023.01.28 21:42:42  38.6083   44.4493        9.0      -.-  2.6  -.-   KURUCAN-SARAY (VAN)                               Ýlksel
2023.01.28 21:40:49  38.4128   45.1557        9.1      -.-  3.0  -.-   IRAN                                              Ýlksel
2023.01.28 21:14:40  38.3003   45.3360        5.0      -.-  5.9  6.1   IRAN                                              Ýlksel
2023.01.28 20:59:39  38.8360   26.7495       14.3      -.-  2.2  -.-   CANDARLI KORFEZI (EGE DENIZI)                     Ýlksel
